naslov	opis
Young Guns (1988)	A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.
Oblegani (1992)	A former S.E.A.L., now cook, is the only person who can stop a gang of terrorists when they seize control of a U.S. Navy battleship.
Zrelo (1975)	When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and grizzled fisherman set out to stop it.
Mars napada (1996)	Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.
Citizen Ruth (1996)	An irresponsible, drug-addicted, recently impregnated woman finds herself in the middle of an abortion debate when both parties attempt to sway her to their respective sides.
Jerry Maguire (1996)	When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent with the only athlete who stays with him.
Raising Arizona (1987)	When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintupelets, their lives get more complicated than they anticipated.
Spiclji (1992)	Complex but lighthearted thriller about computers and cryptography, government and espionage, secrets and deception and betrayal.
Beavis and Butt-Head Do America (1996)	The dimwitted teen duo of Beavis and Butt-Head travel across America in search of their stolen television set.
Poslednji Mohikanec (1992)	Three trappers protect a British Colonel's daughters in the midst of the French and Indian War.
Kolja (1996)	Franta Louka is a concert cellist in Soviet-occupied Czechoslovakia, a confirmed bachelor and a lady's man. Having lost his place in the state orchestra, he must make ends meet by playing ... See full summary »
Jungle 2 Jungle (1997)	A New Yorker suddenly learns he has a thirteen-year-old son who's been raised in the jungle. He brings the boy to New York city, and that's where the fun starts.
Smilla's Sense of Snow (1997)	Based on Peter Hoeg's bestseller, this film is set in snowy Copenhagen where a small boy is found dead after he fell off a roof. Smilla Jasperson, a close friend who lives in the same house... See full summary »
Seme zla (1997)	A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.
Chasing Amy (1997)	Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's gay.
Turbo: A Power Rangers Movie (1997)	The legendary Power Rangers must stop the evil space pirate Divatox from releasing the powerful Maligore from his volcanic imprisonment on the island of Muranthias, where only the kindly ... See full summary »
Placanec (1997)	Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.
Austin Powers (1997)	A 1960s hipster secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place.
Peti element (1997)	In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr Zorg at bay.
Zaplesiva (2004)	A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.
Izgubljeni svet (1997)	A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda.
The Pillow Book (1996)	As a young girl in Japan, Nagiko's father paints characters on her face, and her aunt reads to her from "The Pillow Book", the diary of a 10th-century lady-in-waiting. Nagiko grows up, ... See full summary »
Batman (1989)	The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
Moj bivsi se poroci (1997)	When a woman's long-time friend says he's engaged, she realizes she loves him herself... and sets out to get him, with only days before the wedding.
Chacun cherche son chat (1996)	Chloe, a young woman, is going on holidays. She entrusts her beloved cat to Madame Renée's care. But one day Madame Renée (an old lady of the neighborhood) can not find the cat. Chloe ... See full summary »
Mozje v crnem (1997)	A streetwise NYPD detective joins a secret organization that polices extraterrestrial affairs on Earth.
Stik (1997)	Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of intelligent aliens, who send plans for a mysterious machine.
George iz dzungle (1997)	George grows up in the jungle raised by apes. Based on the Cartoon series.
Krvavo obzorje (1997)	A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.
Air Bud (1997)	A young boy and a talented stray dog with an amazing basketball playing ability become instant friends. Rebounding from his father's accidental death, 12-year-old Josh Framm moves with his ... See full summary »
In the Company of Men (1997)	Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.

Mimik (1997)	Three years ago, entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease. Now, the insects are out to destroy their only predator, mankind.
Lov na rdeci oktober (1990)	In 1984, the USSR's best submarine captain in their newest sub violates orders and heads for the USA. Is he trying to defect, or to start a war?
Kull the Conqueror (1997)	An barbarian warrior becomes a king when he defeats a king in armed combat and the king's heir conspire to overthrow him and reclaim the throne by resurrecting an evil sorceress.
Neznanec (2011)	A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.
Chasing Amy (1997)	Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's gay.
Do nagega (1997)	Six unemployed steel workers form a male striptease act. The women cheer them on to go for "the full monty" - total nudity.
Gattaca (1997)	A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
Vesoljski bojevniki (1997)	Humans in a fascistic, militaristic future do battle with giant alien bugs in a fight for survival.
Good Will Hunting (1997)	Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.
